numero;email;setor;secretaria
(43) 3675-8000;;PABX;boot
(43) 3675-8001;;Recepção;Administração
(43) 3675-8002;rh@centenariodosul.pr.gov.br;RH;Administração
(43) 3675-8003;;off-line;boot
(43) 3675-8004;tributacao@centenariodosul.pr.gov.br;Tributacao;Fazenda
(43) 3675-8005;contabilidade@centenariodosul.pr.gov.br;Contabilidade;Fazenda
(43) 3675-8006;;off-line;boot
(43) 3675-8007;contabilidade@centenariodosul.pr.gov.br;Contabilidade;Fazenda
(43) 3675-8008;tesouraria@centenariodosul.pr.gov.br;Tesouraria;Fazenda
(43) 3675-8009;;Compras;Fazenda
(43) 3675-8010;ouvidoria@centenariodosul.pr.gov.br;Ouvidoria;Gabinete
(43) 3675-8011;;off-line;boot
(43) 3675-8012;;Assesoria Juridica;Administração
(43) 3675-8013;licitacao@centenariodosul.pr.gov.br;Licitação;Administração
(43) 3675-8014;;Chefe de Gabinete;Gabinete
(43) 3675-8015;adm@centenariodosul.pr.gov.br;Administração;Administração
(43) 3675-8016;informatica@centenariodosul.pr.gov.br;Informatica;Administração
(43) 3675-8017;;off-line;boot
(43) 3675-8018;junior@centenariodosul.pr.gov.br;Prefeito;Gabinete
(43) 3675-8019;;Controladoria (Daiane);Controle Interno
(43) 3675-8020;gabinete@centenariodosul.pr.gov.br;Secretaria de Gabinete;Gabinete
(43) 3675-8021;;off-line;boot
(43) 3675-8022;adm@centenariodosul.pr.gov.br;Administração (Fernando);Administração
(43) 3675-8023;juridico@centenariodosul.pr.gov.br;Juridico;Administração
(43) 3675-8024;;off-line;boot
(43) 3675-8025;;Controladoria;Controle Interno
(43) 3675-8026;patrimonio@centenariodosul.pr.gov.br;Patrimonio;Fazenda
(43) 3675-8027;;off-line;boot
(43) 3675-8028;sueli@centenariodosul.pr.gov.br;Vice-Prefeito;Gabinete
(43) 3675-8029;ind.com.tur@centenariodosul.pr.gov.br;Industria e comercio;Desenvolvimento Economico
(43) 3675-8030;engenharia@centenariodosul.pr.gov.br;Engenharia;Infra Estrutura
(43) 3675-1031;;EMATER;Agricultura
(43) 3675-1816;agricultura@centenariodosul.pr.gov.br;Agricultura;Agricultura
(43) 3675-1614;;Patio;Infra Estrutura
(43) 3675-1744;;DR;Infra Estrutura
;saladoempreendedor@centenariodosul.pr.gov.br;Salas do Empreendedor;Desenvolvimento Economico
